time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-08-14 13:38:37.536 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,49008435200,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1534253916787, , , , ,3145728,1218, , , ,7,4,22,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , ,407,1663,9,663,88537864, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-08-14 13:38:42.287 UTC, ,125,3196773,4256,50920, , ,4, ,126, , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,49008435200,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1534253916787, , , , ,3145728,6454, , , ,0, , , ,2,26, , ,3, , , , , , , , , , , , ,4096,2,5215,26, , , , ,24,246, , ,163799328, , , , , , , ,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , ,47, , , , , , , 
2018-08-14 13:38:42.495 UTC, ,125,3169045,1824,22520,672, ,3, ,37,3,0.08, , , , , , , ,3,3, ,2, ,2,1,3, ,35,21, , , , , , , , , , , , , ,10538,2, ,6563, , , , ,10583,49011904512,47,47, , , , , ,2,104, , , , , , , , , , , , , , , , , , , , , , , , , ,10583, ,1534253922382, , , , ,3145728,10538, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,117281,31, , , , , , ,432,1919,9,663,126374432, , , , , , , ,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-08-14 13:38:42.563 UTC, ,125,3195581,4256,49728, , ,4, ,56,1,0.02, , , , , , , ,4,4, , , ,2,2,4, ,38,38, , , , , , , , , , , , , ,10538,2, ,6563, , , , ,10583,49011904512,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10583, ,1534253922382, , , , ,3145728,10538, , ,51,0, , , ,1, , , ,3, , , , ,51,1, , , , , , ,8950,52, , , , , , , , , , ,127459400, , , , , , , ,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , 
2018-08-14 13:38:43.062 UTC, ,125,2113613,1184,16336, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,5, ,23,10, , , , , , , , , , , , , ,10538,2, ,6563, , , , ,10583,49011855360,47,47, , , , , ,2,104, , , , , , , , , , , , , , , , , , , , , , , , , ,10583, ,1534253922995, , , , ,2097150,10538, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,117281,31, , , , , , ,432,1919,11,1055,127249448, , , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-08-14 13:38:43.412 UTC, ,589,2197981,5088,100240, , ,12, ,234, , , , , , , , , ,12,12, , , ,2,8,14, ,183,49, , , , , , , , , , , , , ,10538,2, ,6563, , , , ,10583,49011855360,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10583, ,1534253922995, , , , ,2097150,19203, , ,49,18, ,120, ,3, , , ,3,32, , , ,49,1, , , , , , ,8950,52,8663,32, , , , , , , , ,173180768, , , , , , , ,368, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,39, , ,18,18,18, , , , , , 
2018-08-14 13:38:43.617 UTC, ,125,3196837,3936,49304,1680, ,7, ,75,7,0.09, , , , , , , ,7,7, ,2, ,4,3,9, ,63,44, , , , , , , , , , , , , ,21954,3, ,19328, , , , ,21999,49011744768,-1,-1, , , , , ,3,249, , , , , , , , , , , , , , , , , , , , , , , , , ,21999, ,1534253923460, , , , ,3145728,21954, , ,60,0, , , ,3, , , ,3, , , , ,60,1,2048,1, , , , ,154504,76, , , , , , ,432,1919,11,1055,184932064, , , , , , , ,84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,17, , , , , , , , 
2018-08-14 13:38:48.105 UTC, ,589,3261173,8928,114856, , ,12, ,383,5,0.01, , , , , , , ,12,12, , , ,7,7,14, ,71,19, , , , , , , , , , , , , ,21954,3, ,19328, , , , ,21999,49011744768,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21999, ,1534253923460, , , , ,3145728,31144, , ,29,0, , , ,2,42, , ,3, , , , ,29,1, , , , , , ,25694,31,9173,42, , , , ,6,194, , ,198382208, , , , , , , ,331, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31, ,31,96,78,23, , , , , , 
2018-08-14 13:38:48.638 UTC, ,125,3198365,3680,51168,1344, ,7, ,102,7,0.07, , , , , , , ,7,7, ,2, ,4,2,10, ,93,43, , , , , , , , , , , , , ,37955,4, ,31254, , , , ,38001,49009573888,42,42, , , , , ,5,391, , , , , , , , , , , , , , , , , , , , , , , , , ,38001, ,1534253928571, , , , ,3145728,37955, , ,59,0, , , ,3, , , ,3, , , , ,59,1,2048,1, , , ,1,191872,80, , , , , , ,440,2183,11,1055,216434592, , , , , , , ,104, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,3,2, , , , , , , 
2018-08-14 13:38:48.765 UTC, ,125,3244965,8928,99112, , ,7, ,162, , , , , , , , , ,7,7, , , ,4,2,10, ,173,84, , , , , , , , , , , , , ,37955,4, ,31254, , , , ,38001,49009573888,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38001, ,1534253928571, , , , ,3145728,37955, , ,84,0, , , , , , , ,3, , , , ,84,1, , , , , , ,5096,84, , , , , , , , , , ,221930640, , , , , , , ,173, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29,15,28, , , , , , , 
2018-08-14 13:38:49.390 UTC, ,125,2131541,3040,33992,272, ,4, ,68,4,0.06, , , , , , , ,4,4, ,2, ,2,1,6, ,64,22, , , , , , , , , , , , , ,37955,4, ,31254, , , , ,38001,49009569792,42,42, , , , , ,5,391, , , , , , , , , , , , , , , , , , , , , , , , , ,38001, ,1534253929325, , , , ,2097150,37955, , ,33,0, , , ,3, , , ,3, , , , ,33,1,2048,1, , , ,1,178249,53, , , , , , ,440,2183,13,1609,148374392, , , , , , , ,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , 
2018-08-14 13:38:49.790 UTC, ,1029,2268365,8928,170184, , ,10, ,495,1,0.00, , , , , , , ,10,10, , , ,1,7,10, ,345,107, , , , , , , , , , , , , ,37955,4, ,31254, , , , ,38001,49009569792,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38001, ,1534253929325, , , , ,2097150,55492, , ,108,13, ,222, ,2, , , ,3,57, , , ,108,1, , , , , , ,15690,111,17539,57, , , , , , , , ,154973400, , , , , , , ,750, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,58, ,9,66,30,66, , , , , , 
2018-08-14 13:38:50.395 UTC, ,125,3208637,4448,60768,2016, ,7,1,90,7,0.08, , , , , , , ,7,7, ,2,1,4,2,10, ,78,56, , , , , , , , , , , , , ,60823,5, ,55622, , , , ,60870,49009475584,-1,-1, , , , , ,8,648, , , , , , , , , , , , , , , , , , , , , , , , , ,60870, ,1534253930265, , , , ,3145728,60823, , ,73,0, , , ,3, , , ,3, , , , ,73,1,2048,1, , , ,2,247946,101, , , , , , ,442,2225,13,1609,192363184, , , , , , , ,101, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,11, , , , , , , , 
2018-08-14 13:39:50.403 UTC, ,10709,5580717,9968,2418120,6160, ,63, ,51577,5,0.00, , , , , , , ,63,22, , , ,27,38,19, ,14586,75, , , , , , , , , , , , , ,60823,5, ,55622, , , , ,3509684,49002479616,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3509684, ,1534253930265, , , , ,3145728,3509654, , ,85,111, ,190, ,2,929, , ,3,2, , , ,85,1,446,3,4795,2, , ,28811,84,3444019,927, , , , ,41,393,29,10158,244639744, , , , , , , ,50116, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4154, ,138,33150,7606,6287, , , , , , 
2018-08-14 13:40:50.411 UTC, ,10709,5586981,10176,2424384,6160, ,65, ,203, , , , , , , , , ,65,24, , , ,27,40,21, ,28, , , , , , , , , , , , , , ,60823,5, ,55622, , , , ,3513037,49002336256,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3513037, ,1534253930265, , , , ,3145728,3515078, , , ,6, ,6, , ,3, , ,3,1, , , , ,1, , ,60,1, , , , ,5364,2, , , , , , ,1,411,232045984, , , , , , , ,154, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,28, , ,86,73,19, , , , , , 
2018-08-14 13:41:50.421 UTC, ,10709,5586981,10176,2424384,6160, ,65, ,14, , , , , , , , , ,65,24, , , ,27,40,21, ,8, , , , , , , , , , , , , , ,60823,5, ,55622, , , , ,3515108,49002250240,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3515108, ,1534253930265, , , , ,3145728,3515078, , , ,7, ,7, , , , , ,3,1, , , , ,1, , , , , , , , , , , , , , , , , , ,242457888, , , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,2, , , , , , , 
2018-08-14 13:42:50.438 UTC, ,10709,5586981,10176,2424384,6160, ,65, ,7, , , , , , , , , ,65,24, , , ,27,40,21, ,4, , , , , , , , , , , , , , ,60823,5, ,55622, , , , ,3515108,49002250240,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3515108, ,1534253930265, , , , ,3145728,3515078, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,248999176, , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1, , , , , , , 
2018-08-14 13:43:50.448 UTC, ,10709,5586981,10176,2424384,6160, ,65, ,7, , , , , , , , , ,65,24, , , ,27,40,21, ,4, , , , , , , , , , , , , , ,60823,5, ,55622, , , , ,3515108,49003036672,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3515108, ,1534253930265, , , , ,3145728,3515078, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,616,216084920, , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1, , , , , , , 
2018-08-14 13:44:50.452 UTC, ,10709,5584901,10176,2422304,6160, ,65, ,223, , , , , , , , , ,65,24, , , ,28,40,21, ,51, , , , , , , , , , , , , , ,60823,5, ,55622, , , , ,3526884,48998805504,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3526884, ,1534253930265, , , , ,3145728,3526854, , , ,7, ,7, , ,6, , ,3,1, , , , ,1, , , , , , , , ,11776,6, , , , , , ,1,440,219171184, , , , , , , ,203, , , , , ,4, , , , , , , , , , , , , , , , , , , , , , ,13, ,17, ,2,109,41,19, , , , , , 
2018-08-15 10:59:01.398 UTC, ,125,3453253,5824,307400, , ,63,1,21890,63,0.00, , , , , , , ,63,22, ,10540,1,28,61,18, ,11362,33, , , , , , , , , , , , , ,3607213,6,3526956,3526956,1,21,35,55,3607267,48663003136,60,60, , , , , ,30,11333, , , , , , , , , , , , , , , , , , , , , , , , , ,3607267, ,1534330740252, , , , ,3145728,3607213, , ,105,11,1,20,1,4,1, , ,3,2, , , ,105, ,1446090,45,80383,1, ,12,34949031,628, , , , , , ,346,1129,7,365,87239832, , , , , , , ,11379, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-08-15 11:00:01.403 UTC, ,125,5279685,10176,2127672,6160, ,65, ,1951,2,0.00, , , , , , , ,65,24, , , ,29,52,21, ,821,473, , , , , , , , , , , , , ,3607213,6,3526956,3526956, , , , ,3607267,48662736896,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3607267, ,1534330740252, , , , ,3145728,3607213, , ,477,0, , , ,1, , , ,3, , , , ,477,1,536553,47, , , ,1,1246920,432, , , , , , ,74,895,3,751,224494880, , , , , , , ,1802, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,127,1510,249, , , , , , , 
2018-08-15 11:01:01.411 UTC, ,589,5281429,10176,2128952,6160, ,65, ,382, , , , , , , , , ,65,24, , , ,30,52,21, ,62,4, , , , , , , , , , , , , ,3607213,6,3526956,3526956, , , , ,3615836,48658436096,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3615836, ,1534330740252, , , , ,3145728,3619443, , ,4,10, ,21, ,2,6, , ,3,3, , , ,4,1,368,2,5698,2, , ,4768,4,6508,4, , , , , , ,1,319,237025080, , , , , , , ,364,6, , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,17, ,43, ,5,194,96,37, , , , , , 
2018-08-15 11:02:00.176 UTC, ,125,3255845,5824,109992, , ,23,4,831,23,0.03,10, , , , , ,4,23,18, ,117, ,9,21,19, ,707,34, , , , , , , , , , , , , ,3631088,7,3622719,3622719,1,10,12,29,3631142,48662855680,-1,-1, , , , , ,31,11546, , , , , , , , , , , , , , , , , , , , , , , , , ,3631142, ,1534330919413, , , , ,3145728,3631088, , ,77,5,1,9,1,4,1, , ,3,2, , , ,77, ,30591,11,8495,1, ,2,8396794,224, , , , , , ,344,1168,7,464,82717696, , , , , , , ,710, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-08-15 11:03:00.183 UTC, ,125,5190229,10176,2038216,6160, ,42,11,1836,19,0.01, , , , , , ,2,42,22, , ,13,19,30,22, ,777,458, , , , , , , , , , , , , ,3631088,7,3622719,3622719, , , , ,3631142,48662798336,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3631142, ,1534330919413, ,4, , ,3145728,3631088, , ,494,0, , , ,1, , , ,3, , , , ,494,1,563218,63, , , ,11,1346623,443, , , , , , ,70,718,1,165,170762896, , , , , , , ,1748, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,1433,228, , , , , , , 
2018-08-15 11:04:00.188 UTC, ,589,5208029,10176,2055552,6160, ,44, ,218,2,0.01,1, , , , , ,2,44,23, , , ,20,31,23, ,73,17, , , , , , , , , , , , , ,3631088,7,3622719,3622719, , , , ,3634464,48658333696,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3634464, ,1534330919413, ,3,1,1,3145728,3634434, , ,20,10, ,10, ,2,1, , ,3,1, , , ,20,1,2899,5,3322,1, ,1,17332,18, , , , , , ,4,198,2,591,231491352, , , , , , , ,171, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,2,155,53,4, , , , , , 
2018-08-15 11:05:00.191 UTC, ,589,5206125,10176,2053648,6160, ,44, ,109, , , , , , , , ,2,44,23, , , ,20,31,23, ,30, , , , , , , , , , , , , , ,3631088,7,3622719,3622719, , , , ,3637645,48658288640,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3637645, ,1534330919413,1,5, ,2,3145728,3637615, , , ,8, ,8, , ,2, , ,3,1, , , , ,1, , ,1461,1, , , , ,1720,1, , , , , , ,1,416,189294472, , , , , , , ,98, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,6, ,4, ,1,61,22,8, , , , , , 
2018-08-15 11:06:00.193 UTC, ,589,5206125,10176,2053648,6160, ,44, ,6, , , , , , , , ,2,44,23, , , ,20,31,23, ,3, , , , , , , , , , , , , , ,3631088,7,3622719,3622719, , , , ,3637645,48658288640,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3637645, ,1534330919413, , , , ,3145728,3637615, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,195659120, , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , 
2018-08-15 11:07:00.202 UTC, ,589,5206125,10176,2053648,6160, ,44, ,6, , , , , , , , ,2,44,23, , , ,20,31,23, ,3, , , , , , , , , , , , , , ,3631088,7,3622719,3622719, , , , ,3637645,48658288640,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3637645, ,1534330919413, , , , ,3145728,3637615, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,201894008, , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , 
2018-08-15 11:08:00.214 UTC, ,589,5206125,10176,2053648,6160, ,44, ,6, , , , , , , , ,2,44,23, , , ,20,31,23, ,3, , , , , , , , , , , , , , ,3631088,7,3622719,3622719, , , , ,3637645,48658288640,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3637645, ,1534330919413, , , , ,3145728,3637615, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,209402400, , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , 
2018-08-15 11:09:00.223 UTC, ,589,5206125,10176,2053648,6160, ,44, ,6, , , , , , , , ,2,44,23, , , ,20,31,23, ,3, , , , , , , , , , , , , , ,3631088,7,3622719,3622719, , , , ,3637645,48658288640,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3637645, ,1534330919413, , , , ,3145728,3637615, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,215856096, , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , 
