time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-08-14 13:11:09.070 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,49063313408,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1534252268300, , , , ,3145728,1218, , , ,9,4,21,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , ,399,1617,8,590,79031456, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-08-14 13:11:13.462 UTC, ,125,3196773,4256,50920, , ,4, ,126, , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,49063313408,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1534252268300, , , , ,3145728,6454, , , ,0, , , ,2,26, , ,3, , , , , , , , , , , , ,4096,2,5215,26, , , , ,26,221, , ,145150216, , , , , , , ,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , ,47, , , , , , , 
2018-08-14 13:11:13.646 UTC, ,125,3162405,1184,16336,216, ,3, ,27,3,0.11, , , , , , , ,3,3, ,2, ,2,1,5, ,24,11, , , , , , , , , , , , , ,10542,2, ,6567, , , , ,10587,49066844160,47,47, , , , , ,2,104, , , , , , , , , , , , , , , , , , , , , , , , , ,10587, ,1534252273550, , , , ,3145728,10542, , ,20,0, , , ,3, , , ,3, , , , ,20,1,2048,1, , , , ,119427,34, , , , , , ,426,1851,8,590,115590384, , , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-08-14 13:11:13.698 UTC, ,125,3195581,4256,49728, , ,4, ,66,1,0.02, , , , , , , ,4,4, , , ,2,2,4, ,49,48, , , , , , , , , , , , , ,10542,2, ,6567, , , , ,10587,49066844160,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10587, ,1534252273550, , , , ,3145728,10542, , ,49,0, , , , , , , ,3, , , , ,49,1, , , , , , ,6804,49, , , , , , , , , , ,116837320, , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , 
2018-08-14 13:11:14.192 UTC, ,125,2113613,1184,16336, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,5, ,23,10, , , , , , , , , , , , , ,10542,2, ,6567, , , , ,10587,49066795008,-1,-1, , , , , ,2,104, , , , , , , , , , , , , , , , , , , , , , , , , ,10587, ,1534252274121, , , , ,2097150,10542, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,117281,31, , , , , , ,426,1851,10,945,123607688, , , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-08-14 13:11:14.542 UTC, ,589,2197981,5088,100240, , ,12, ,234, , , , , , , , , ,12,12, , , ,2,8,14, ,183,49, , , , , , , , , , , , , ,10542,2, ,6567, , , , ,10587,49066795008,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10587, ,1534252274121, , , , ,2097150,19207, , ,49,7, ,134, ,3, , , ,3,32, , , ,49,1, , , , , , ,8950,52,8663,32, , , , , , , , ,169930192, , , , , , , ,368, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,39, , ,18,18,18, , , , , , 
2018-08-14 13:11:14.680 UTC, ,125,3178653,3040,32496,304, ,5, ,37,5,0.14, , , , , , , ,5,5, ,2, ,4,2,6, ,35,22, , , , , , , , , , , , , ,21962,3, ,19336, , , , ,22007,49066684416,41,41, , , , , ,3,249, , , , , , , , , , , , , , , , , , , , , , , , , ,22007, ,1534252274597, , , , ,3145728,21962, , ,34,0, , , ,3, , , ,3, , , , ,34,1,2048,1, , , , ,144749,50, , , , , , ,426,1851,10,945,180393720, , , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , 
2018-08-14 13:11:19.338 UTC, ,589,3261173,8928,114856, , ,12, ,421,7,0.02, , , , , , , ,12,12, , , ,7,7,14, ,99,41, , , , , , , , , , , , , ,21962,3, ,19336, , , , ,22007,49066684416,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22007, ,1534252274597, , , , ,3145728,31152, , ,55,0, , , ,2,42, , ,3, , , , ,55,1, , , , , , ,35449,57,9173,42, , , , ,6,211, , ,192429240, , , , , , , ,383, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31, ,35,113,78,23, , , , , , 
2018-08-14 13:11:20.200 UTC, ,125,3181549,3040,35312,384, ,5, ,72,5,0.07, , , , , , , ,5,5, ,2, ,4,2,6, ,66,23, , , , , , , , , , , , , ,37967,4, ,31266, , , , ,38013,49064529920,42,42, , , , , ,5,391, , , , , , , , , , , , , , , , , , , , , , , , , ,38013, ,1534252280070, , , , ,3145728,37967, , ,35,0, , , ,3, , , ,3, , , , ,35,1,2048,1, , , ,1,181391,56, , , , , , ,434,2175,10,945,210251312, , , , , , , ,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , 
2018-08-14 13:11:20.320 UTC, ,125,3244965,8928,99112, , ,7, ,192,2,0.01, , , , , , , ,7,7, , , ,4,2,10, ,200,104, , , , , , , , , , , , , ,37967,4, ,31266, , , , ,38013,49064529920,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38013, ,1534252280070, , , , ,3145728,37967, , ,108,0, , , , , , , ,3, , , , ,108,1, , , , , , ,15577,108, , , , , , , , , , ,215934144, , , , , , , ,214, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38,18,30, , , , , , , 
